version,config,rmse,mae,r2
v1,shallow,167.59001135620096,128.83335212651593,0.6412861757833781
v1,deep,167.368421583237,128.5519090387224,0.6422341411737327
v2,shallow,166.4729120572733,127.87339195414378,0.6460523719143829
v2,deep,167.62355023816525,128.79382303145314,0.6411425865044289
